speaker_key,speaker_id,lang,gender,region,utterance_index,path,source_fname
hindi_1087_female,1087,hindi,female,,0,C:\Users\LENOVO\OneDrive\Desktop\Final_layer2\UCO-HACKATHON\evaluation\data\kathbath_telephone\clean\hindi\hindi_1087_female\844424931027677-1087-f.wav,844424931027677-1087-f.m4a
hindi_1087_female,1087,hindi,female,,0,C:\Users\LENOVO\OneDrive\Desktop\Final_layer2\UCO-HACKATHON\evaluation\data\kathbath_telephone\telephone_mild\hindi\hindi_1087_female\844424931027677-1087-f.wav,844424931027677-1087-f.m4a
hindi_1087_female,1087,hindi,female,,0,C:\Users\LENOVO\OneDrive\Desktop\Final_layer2\UCO-HACKATHON\evaluation\data\kathbath_telephone\telephone_moderate\hindi\hindi_1087_female\844424931027677-1087-f.wav,844424931027677-1087-f.m4a
hindi_1087_female,1087,hindi,female,,0,C:\Users\LENOVO\OneDrive\Desktop\Final_layer2\UCO-HACKATHON\evaluation\data\kathbath_telephone\telephone_severe\hindi\hindi_1087_female\844424931027677-1087-f.wav,844424931027677-1087-f.m4a
hindi_1087_female,1087,hindi,female,,1,C:\Users\LENOVO\OneDrive\Desktop\Final_layer2\UCO-HACKATHON\evaluation\data\kathbath_telephone\clean\hindi\hindi_1087_female\844424931190130-1087-f.wav,844424931190130-1087-f.m4a
hindi_1087_female,1087,hindi,female,,1,C:\Users\LENOVO\OneDrive\Desktop\Final_layer2\UCO-HACKATHON\evaluation\data\kathbath_telephone\telephone_mild\hindi\hindi_1087_female\844424931190130-1087-f.wav,844424931190130-1087-f.m4a
hindi_1087_female,1087,hindi,female,,1,C:\Users\LENOVO\OneDrive\Desktop\Final_layer2\UCO-HACKATHON\evaluation\data\kathbath_telephone\telephone_moderate\hindi\hindi_1087_female\844424931190130-1087-f.wav,844424931190130-1087-f.m4a
hindi_1087_female,1087,hindi,female,,1,C:\Users\LENOVO\OneDrive\Desktop\Final_layer2\UCO-HACKATHON\evaluation\data\kathbath_telephone\telephone_severe\hindi\hindi_1087_female\844424931190130-1087-f.wav,844424931190130-1087-f.m4a
hindi_1087_female,1087,hindi,female,,2,C:\Users\LENOVO\OneDrive\Desktop\Final_layer2\UCO-HACKATHON\evaluation\data\kathbath_telephone\clean\hindi\hindi_1087_female\844424931089352-1087-f.wav,844424931089352-1087-f.m4a
hindi_1087_female,1087,hindi,female,,2,C:\Users\LENOVO\OneDrive\Desktop\Final_layer2\UCO-HACKATHON\evaluation\data\kathbath_telephone\telephone_mild\hindi\hindi_1087_female\844424931089352-1087-f.wav,844424931089352-1087-f.m4a
hindi_1087_female,1087,hindi,female,,2,C:\Users\LENOVO\OneDrive\Desktop\Final_layer2\UCO-HACKATHON\evaluation\data\kathbath_telephone\telephone_moderate\hindi\hindi_1087_female\844424931089352-1087-f.wav,844424931089352-1087-f.m4a
hindi_1087_female,1087,hindi,female,,2,C:\Users\LENOVO\OneDrive\Desktop\Final_layer2\UCO-HACKATHON\evaluation\data\kathbath_telephone\telephone_severe\hindi\hindi_1087_female\844424931089352-1087-f.wav,844424931089352-1087-f.m4a
hindi_1087_female,1087,hindi,female,,3,C:\Users\LENOVO\OneDrive\Desktop\Final_layer2\UCO-HACKATHON\evaluation\data\kathbath_telephone\clean\hindi\hindi_1087_female\844424931027701-1087-f.wav,844424931027701-1087-f.m4a
hindi_1087_female,1087,hindi,female,,3,C:\Users\LENOVO\OneDrive\Desktop\Final_layer2\UCO-HACKATHON\evaluation\data\kathbath_telephone\telephone_mild\hindi\hindi_1087_female\844424931027701-1087-f.wav,844424931027701-1087-f.m4a
hindi_1087_female,1087,hindi,female,,3,C:\Users\LENOVO\OneDrive\Desktop\Final_layer2\UCO-HACKATHON\evaluation\data\kathbath_telephone\telephone_moderate\hindi\hindi_1087_female\844424931027701-1087-f.wav,844424931027701-1087-f.m4a
hindi_1087_female,1087,hindi,female,,3,C:\Users\LENOVO\OneDrive\Desktop\Final_layer2\UCO-HACKATHON\evaluation\data\kathbath_telephone\telephone_severe\hindi\hindi_1087_female\844424931027701-1087-f.wav,844424931027701-1087-f.m4a
hindi_1087_female,1087,hindi,female,,4,C:\Users\LENOVO\OneDrive\Desktop\Final_layer2\UCO-HACKATHON\evaluation\data\kathbath_telephone\clean\hindi\hindi_1087_female\844424930684225-1087-f.wav,844424930684225-1087-f.m4a
hindi_1087_female,1087,hindi,female,,4,C:\Users\LENOVO\OneDrive\Desktop\Final_layer2\UCO-HACKATHON\evaluation\data\kathbath_telephone\telephone_mild\hindi\hindi_1087_female\844424930684225-1087-f.wav,844424930684225-1087-f.m4a
hindi_1087_female,1087,hindi,female,,4,C:\Users\LENOVO\OneDrive\Desktop\Final_layer2\UCO-HACKATHON\evaluation\data\kathbath_telephone\telephone_moderate\hindi\hindi_1087_female\844424930684225-1087-f.wav,844424930684225-1087-f.m4a
hindi_1087_female,1087,hindi,female,,4,C:\Users\LENOVO\OneDrive\Desktop\Final_layer2\UCO-HACKATHON\evaluation\data\kathbath_telephone\telephone_severe\hindi\hindi_1087_female\844424930684225-1087-f.wav,844424930684225-1087-f.m4a
hindi_1087_female,1087,hindi,female,,5,C:\Users\LENOVO\OneDrive\Desktop\Final_layer2\UCO-HACKATHON\evaluation\data\kathbath_telephone\clean\hindi\hindi_1087_female\844424930741271-1087-f.wav,844424930741271-1087-f.m4a
hindi_1087_female,1087,hindi,female,,5,C:\Users\LENOVO\OneDrive\Desktop\Final_layer2\UCO-HACKATHON\evaluation\data\kathbath_telephone\telephone_mild\hindi\hindi_1087_female\844424930741271-1087-f.wav,844424930741271-1087-f.m4a
hindi_1087_female,1087,hindi,female,,5,C:\Users\LENOVO\OneDrive\Desktop\Final_layer2\UCO-HACKATHON\evaluation\data\kathbath_telephone\telephone_moderate\hindi\hindi_1087_female\844424930741271-1087-f.wav,844424930741271-1087-f.m4a
hindi_1087_female,1087,hindi,female,,5,C:\Users\LENOVO\OneDrive\Desktop\Final_layer2\UCO-HACKATHON\evaluation\data\kathbath_telephone\telephone_severe\hindi\hindi_1087_female\844424930741271-1087-f.wav,844424930741271-1087-f.m4a
hindi_1128_female,1128,hindi,female,,0,C:\Users\LENOVO\OneDrive\Desktop\Final_layer2\UCO-HACKATHON\evaluation\data\kathbath_telephone\clean\hindi\hindi_1128_female\844424932725130-1128-f.wav,844424932725130-1128-f.m4a
hindi_1128_female,1128,hindi,female,,0,C:\Users\LENOVO\OneDrive\Desktop\Final_layer2\UCO-HACKATHON\evaluation\data\kathbath_telephone\telephone_mild\hindi\hindi_1128_female\844424932725130-1128-f.wav,844424932725130-1128-f.m4a
hindi_1128_female,1128,hindi,female,,0,C:\Users\LENOVO\OneDrive\Desktop\Final_layer2\UCO-HACKATHON\evaluation\data\kathbath_telephone\telephone_moderate\hindi\hindi_1128_female\844424932725130-1128-f.wav,844424932725130-1128-f.m4a
hindi_1128_female,1128,hindi,female,,0,C:\Users\LENOVO\OneDrive\Desktop\Final_layer2\UCO-HACKATHON\evaluation\data\kathbath_telephone\telephone_severe\hindi\hindi_1128_female\844424932725130-1128-f.wav,844424932725130-1128-f.m4a
